Hour,Edge,flowrate
0.0,1,0.000639371285880376
0.0,2,1.8746693739046908e-05
0.0,3,1.913605068705908e-05
0.0,4,6.850510424715195e-06
0.0,5,0.00021597304699280234
0.0,6,-1.447732376558757e-05
0.0,7,-4.756402169845397e-05
0.0,8,-1.6511013218603707e-05
0.0,9,-3.42620350371435e-05
0.0,10,3.205743293989744e-05
0.0,11,-7.662768303733048e-05
0.0,12,-0.0004073602523452024
0.0,13,-0.0009828179661914172
0.0,14,0.015417922377400292
0.0,15,0.01339880699890584
0.0,16,0.00783640239488415
0.0,17,0.002709759053093911
0.0,18,0.0017174915788036496
0.0,19,0.0006221234468031829
0.0,20,-0.0005306621305740194
0.0,21,-0.0015875350626986383
0.0,22,0.0034089053310037316
0.0,23,0.002897470510041815
0.0,24,0.0021595475985817757
0.0,25,0.0014824251972012964
0.0,26,0.00036204851479738854
0.0,27,-0.0005077896800295288
0.0,28,0.003726567744588277
0.0,29,0.002878771111817082
0.0,30,0.0012736837779597332
0.0,31,0.0001636212018794866
0.0,32,-9.07725594206078e-05
0.0,33,-5.085119801926864e-05
0.0,34,-0.0006044940479951399
0.0,35,-0.0010449828178536378
0.0,36,-7.60917646114029e-07
0.0,37,5.9409506724490445e-05
0.0,38,8.46659613789054e-05
0.0,39,-5.5398629162497804e-05
0.0,40,-2.692004487799168e-05
0.0,41,0.000631379455068677
0.0,42,3.3697460409314026e-05
0.0,43,0.00027830890982038955
0.0,44,0.0003697166589423236
0.0,45,-0.0005808903093959241
0.0,46,3.459092974192965e-05
0.0,47,-0.00032386701502088366
0.0,48,-0.0007277708788540433
0.0,49,-1.3896624384966008e-05
0.0,50,-4.4278184102976853e-05
0.0,51,-0.00038565879226238475
0.0,52,-1.3739176000427626e-05
0.0,53,-0.0007920037718159286
0.0,54,0.0015602254782355277
0.0,55,0.0003909122328749757
0.0,56,-0.00013526934960671243
0.0,57,-0.0003358152103836514
0.0,58,0.017289951686278036
1.0,1,0.000639371285880376
1.0,2,1.8746693739046908e-05
1.0,3,1.913605068705908e-05
1.0,4,6.850510424715195e-06
1.0,5,0.00021597304699280234
1.0,6,-1.447732376558757e-05
1.0,7,-4.756402169845397e-05
1.0,8,-1.6511013218603707e-05
1.0,9,-3.42620350371435e-05
1.0,10,3.205743293989744e-05
1.0,11,-7.662768303733048e-05
1.0,12,-0.0004073602523452024
1.0,13,-0.0009828179661914172
1.0,14,0.015417922377400292
1.0,15,0.01339880699890584
1.0,16,0.00783640239488415
1.0,17,0.002709759053093911
1.0,18,0.0017174915788036496
1.0,19,0.0006221234468031829
1.0,20,-0.0005306621305740194
1.0,21,-0.0015875350626986383
1.0,22,0.0034089053310037316
1.0,23,0.002897470510041815
1.0,24,0.0021595475985817757
1.0,25,0.0014824251972012964
1.0,26,0.00036204851479738854
1.0,27,-0.0005077896800295288
1.0,28,0.003726567744588277
1.0,29,0.002878771111817082
1.0,30,0.0012736837779597332
1.0,31,0.0001636212018794866
1.0,32,-9.07725594206078e-05
1.0,33,-5.085119801926864e-05
1.0,34,-0.0006044940479951399
1.0,35,-0.0010449828178536378
1.0,36,-7.60917646114029e-07
1.0,37,5.9409506724490445e-05
1.0,38,8.46659613789054e-05
1.0,39,-5.5398629162497804e-05
1.0,40,-2.692004487799168e-05
1.0,41,0.000631379455068677
1.0,42,3.3697460409314026e-05
1.0,43,0.00027830890982038955
1.0,44,0.0003697166589423236
1.0,45,-0.0005808903093959241
1.0,46,3.459092974192965e-05
1.0,47,-0.00032386701502088366
1.0,48,-0.0007277708788540433
1.0,49,-1.3896624384966008e-05
1.0,50,-4.4278184102976853e-05
1.0,51,-0.00038565879226238475
1.0,52,-1.3739176000427626e-05
1.0,53,-0.0007920037718159286
1.0,54,0.0015602254782355277
1.0,55,0.0003909122328749757
1.0,56,-0.00013526934960671243
1.0,57,-0.0003358152103836514
1.0,58,0.017289951686278036
2.0,1,0.000636789780600814
2.0,2,1.8671003030715108e-05
2.0,3,1.905878762799566e-05
2.0,4,6.822851856670386e-06
2.0,5,0.00021510104106918526
2.0,6,-1.4418870185636715e-05
2.0,7,-4.737197860867852e-05
2.0,8,-1.644434857695387e-05
2.0,9,-3.412369976300897e-05
2.0,10,3.192799803945066e-05
2.0,11,-7.631829401025775e-05
2.0,12,-0.0004057155075198854
2.0,13,-0.0009788497708688873
2.0,14,0.015355671437965769
2.0,15,0.013344708378337847
2.0,16,0.007804762372300854
2.0,17,0.0026988182118779245
2.0,18,0.0017105570865551107
2.0,19,0.0006196115794467067
2.0,20,-0.0005285195448888242
2.0,21,-0.0015811252782476572
2.0,22,0.003395141637471296
2.0,23,0.002885771770279336
2.0,24,0.00215082827415252
2.0,25,0.0014764398009803714
2.0,26,0.00036058671795557355
2.0,27,-0.0005057394445194243
2.0,28,0.0037115214653997463
2.0,29,0.0028671478706322104
2.0,30,0.0012685411916344596
2.0,31,0.00016296057009778937
2.0,32,-9.040605892354695e-05
2.0,33,-5.064588241200158e-05
2.0,34,-0.0006020533597803993
2.0,35,-0.0010407636252698375
2.0,36,-7.5784658734109e-07
2.0,37,5.9169636242940645e-05
2.0,38,8.432411641402577e-05
2.0,39,-5.5174953364797504e-05
2.0,40,-2.681135278117656e-05
2.0,41,0.0006288302168443126
2.0,42,3.3561404777348744e-05
2.0,43,0.0002771852172135064
2.0,44,0.00036822390178475124
2.0,45,-0.000578544924844206
2.0,46,3.445126641780543e-05
2.0,47,-0.00032255937898607607
2.0,48,-0.0007248324528091016
2.0,49,-1.3840515720027177e-05
2.0,50,-4.409940803020456e-05
2.0,51,-0.0003841016683723056
2.0,52,-1.3683703102539753e-05
2.0,53,-0.0007888060016937503
2.0,54,0.0015539259593700398
2.0,55,0.000389333897465847
2.0,56,-0.00013472319036875584
2.0,57,-0.0003344593332202745
2.0,58,0.017220142299574193
3.0,1,0.0006421948072793315
3.0,2,1.8829480451078382e-05
3.0,3,1.922055715846854e-05
3.0,4,6.880761983171693e-06
3.0,5,0.0002169268034720817
3.0,6,-1.4541257368206745e-05
3.0,7,-4.777406882916316e-05
3.0,8,-1.6583927674622548e-05
3.0,9,-3.441333924389534e-05
3.0,10,3.219900236478203e-05
3.0,11,-7.696607728379507e-05
3.0,12,-0.00040915919199592906
3.0,13,-0.0009871581798233176
3.0,14,0.015486009342409457
3.0,15,0.013457977365158523
3.0,16,0.007871008669792843
3.0,17,0.0027217255981771683
3.0,18,0.0017250761797026407
